ISO	IW_HADI_age_old	IW_HNFW_age_old	JE_PE_age_old	JE_EMPL_age_old	JE_UNEM_age_old	HS_SFRH_age_old	WL_EWLH_age_old	WL_LEPC_age_old	ES_EDUA_age_old	ES_ADCO_age_old	SC_SNTWS_age_old	SC_TSOC_age_old	CG_POEF_age_old	CG_VOTO_age_old	EQ_SATW_age_old	PS_SFRV_age_old	SW_LIFS_age_old
AUS	0.86	1.44	0.98	0.78	1.06		1.10	1.24	0.62	0.94	0.93		0.96		1.18	0.82	1.03
AUT	1.01	0.96	1.14	0.55	1.10	0.46	0.87	1.25	0.61	0.94	0.72	0.99	0.94		1.27	0.60	0.96
BEL	0.92	1.41	1.11	0.56	1.36	0.51	1.11	1.18	0.57	0.92	0.81	0.97	0.91		1.31	0.65	0.97
CAN	1.00	1.27	1.00	0.75	0.94	0.51	0.80	1.30	0.54	0.94	1.06	1.14	0.87		1.11	0.73	1.02
CHL	0.93	1.51		0.86	1.86				0.69	0.86	0.77		0.69		1.24	1.00	0.92
CZE	0.86		0.94	0.66	1.06	0.30	1.25		0.39	0.94	0.75		0.92		0.99	0.86	0.90
DNK	0.96	2.29	1.04	0.79	1.32	0.49	0.73	1.11	0.62	0.93	0.55	0.92	0.94		0.95	0.68	1.02
EST	0.69	0.60	0.83	0.78	0.92	0.35	1.37	1.22	1.02	0.94	0.79	0.97	0.74		1.12	0.80	0.90
FIN	0.95	1.15	0.99	0.75	0.96	0.41	1.23	1.21	0.50	0.90	0.49	1.00	0.80		1.24	0.58	0.97
FRA	1.13	1.29	1.08	0.61	1.26	0.50	1.01	1.21	0.58	0.91	0.74	0.91	0.93		1.20	0.76	0.95
DEU	0.95	1.19	1.02	0.79	0.93	0.47	1.05	1.17	0.93	0.94	0.61	0.91	0.94		1.79	0.56	0.96
GRC	1.00	0.95	1.06	0.53	1.40	0.29	0.90		0.58	0.98	0.69		1.12		1.19	0.83	0.89
HUN	0.89	0.81	1.00	0.56	1.04	0.28	1.05	1.17	0.70		0.98	0.90			1.23	0.79	0.94
ISL	1.05		0.99	0.96	0.97	0.53	1.03		0.70		0.64				0.95	0.73	0.99
IRL	0.95		1.01	0.75	1.15	0.46	0.83	1.23	0.50	0.93	1.07	1.00	0.91		1.35	0.86	1.02
ISR	1.12			0.84	1.19				0.68	0.90	0.93		0.91		1.07	1.00	0.96
ITA	1.07	1.26	1.16	0.71	2.02	0.37	0.79	1.23	0.76	0.93	0.74	1.11	0.96		1.21	0.88	0.93
JPN	0.97		1.00	0.85	1.10	0.85		1.26		0.93	0.96	0.88	0.92		1.63	1.38	0.97
KOR	0.79	1.13	0.92	0.87	1.23	0.91		1.22	0.19	0.89	0.53	1.30	0.67		1.08	1.37	0.89
LVA	0.75	0.73		0.75	1.03	0.40	1.34		0.99		0.65				1.09	0.85	0.89
LUX	1.04	1.61	1.18	0.47	1.25	0.45	1.06		0.81		0.97				1.21	0.79	1.00
MEX	1.05		0.98	0.77	1.53			1.30	0.89		1.12	1.08			1.04	0.97	0.94
NLD	0.98	2.03	1.10	0.75	0.70	0.47	0.81	1.19	0.63	0.92	0.45	1.09	0.83		1.49	0.70	1.00
NZL	1.05	1.56		0.92	1.24			1.23	0.71	0.96	0.90	1.03	0.94		0.99	0.95	1.04
NOR	1.07	1.72	1.05	0.87	2.48	0.57	1.20	1.20	0.86	0.94	0.60	1.00	0.84		1.93	0.74	1.00
POL	0.91	0.72	0.95	0.56	1.21	0.29	1.05	1.21	0.53	0.93	0.71	1.11	0.79		1.27	0.95	0.89
PRT	1.00	1.23	1.09	0.63	0.90	0.46	1.29		0.72		0.68				1.08	0.60	0.85
SVK	0.92	0.82	0.95	0.60	1.12	0.27			0.48	0.96	0.77		0.90		1.09	0.87	0.91
SVN	0.95	0.70	1.08	0.44	1.12	0.35	1.16	1.22	0.51	0.90	0.49	0.93	0.95		1.35	0.56	0.89
ESP	1.09	1.56	1.21	0.68	1.10	0.39	0.96	1.26	0.67	0.91	0.76	0.94	0.98		1.33	0.70	0.96
SWE	1.02		1.07	0.87	1.09	0.68	1.17	1.24	0.59	0.94	0.71	0.97	0.76		1.34	0.78	1.01
CHE	0.94		1.06	0.83	1.03	0.56	1.01		0.77		0.57				1.49	0.58	0.99
TUR	0.95		1.00	0.54	1.35	0.41		1.14	0.89	0.92	0.82	1.20	1.08		1.18	1.21	0.97
GBR	0.86	1.40	0.94	0.75	1.16	0.55		1.21	0.72	0.95	0.92	1.07	0.92		1.48	0.76	1.03
USA	1.02	2.04	1.05	0.80	1.17		0.94	1.24	1.06	0.96	1.09	1.05	0.96		1.26	0.76	1.05
OECD	0.96	1.28	1.03	0.72	1.21	0.47	1.04	1.22	0.68	0.93	0.77	1.02	0.90		1.25	0.82	0.96
LTU	0.91			0.74	1.36	0.35	0.89	1.17	1.11	0.94	0.83	1.26	1.13		1.16	0.85	0.91
