ISO3	IW_HADI_age_young	IW_HNFW_age_young	JE_HOUE_age_young	JE_EMPL_age_young	JE_UNEM_age_young	HS_SFRH_age_young	WL_EWLH_age_young	WL_LEPC_age_young	ES_EDUA_age_young	ES_ADCO_age_young	SC_SNTWS_age_young	SC_TSOC_age_young	CG_POEF_age_young	CG_VOTO_age_young	EQ_SATW_age_young	PS_SFRV_age_young	SW_LIFS_age_young
AUS	0.91	0.32	0.71	0.74	0.36		2.29	1.11	1.75	0.98	2.33	1.00	1.06		2.00	0.96	1.04
AUT	0.90	0.21	0.63	0.62	0.49	1.83	3.23	1.06	1.43	1.00	2.08	1.37	1.14		0.98	0.73	1.01
BEL	0.94	0.49	0.74	0.30	0.35	2.03	0.94	1.07	1.28	0.98	1.84	1.37	1.23		1.17	1.00	1.02
CAN	0.94	0.30	0.65	0.69	0.46	1.22	1.42	1.11	1.23	0.98	2.24	1.68	1.03		1.20	0.85	1.02
CHL	0.81	0.52		0.40	0.37				2.02	1.03	2.66		0.92		1.04	1.07	1.08
CZE	0.90		0.82	0.34	0.37		1.28		0.76	0.99	1.65		1.05		0.88	1.02	1.09
DNK	0.91	0.23	0.64	0.67	0.53	1.50	0.79	1.08	1.05	0.96	1.94	1.30	0.82		0.69	0.72	1.01
EST	0.92	0.36	0.89	0.45	0.42		1.44	1.11	0.77	1.01	2.59	2.19	1.28		1.17	1.00	1.08
FIN	0.90	0.25	0.69	0.53	0.35	1.81	1.89	1.11	0.96	0.97	5.20	1.50	1.01		0.70	0.84	1.01
FRA	0.94	0.30	0.71	0.36	0.38	1.93	2.49	1.11	1.56	1.00	1.91	1.82	1.23		1.28	0.80	1.03
DEU	0.89	0.22	0.63	0.54	0.60	2.38	1.77	1.09	1.04	0.99	2.18	1.52	1.17		1.24	0.91	1.06
GRC	0.92	0.47	0.66	0.20	0.49	2.88	1.11		1.70	1.00	2.00		0.91		1.13	1.00	1.15
HUN	0.92	0.53	0.78	0.32	0.35	2.50	1.38	1.10	1.11		2.44	1.47			0.95	0.97	1.18
ISL	0.98		0.66	0.83	0.36	1.07	0.82		0.91		7.22				2.06	1.23	1.03
IRL	0.89		0.65	0.38	0.42	1.85	1.23	1.09	2.09	0.99	1.44	1.81	0.97		1.36	0.96	1.05
ISR	0.88			0.56	0.50				1.69	0.98	1.66		1.01		1.17	0.97	1.05
ITA	0.92	0.41	0.69	0.25	0.28	2.31	0.91	1.12	1.57	1.00	1.95	1.84	1.18		1.37	1.00	1.07
JPN	0.92		0.86	0.49	0.61	1.23		1.06	1.00	0.96	1.58	1.25	0.85		1.07	0.93	1.04
KOR	0.95	0.51	0.65	0.35	0.32	1.26		0.97	4.83	1.03	3.31	1.03	1.24		1.42	0.98	1.05
LVA	0.88	0.65	1.00	0.44	0.59	2.07	2.77		0.74		2.13				1.07	1.09	1.09
LUX	0.88	0.40	0.65	0.35	0.34	2.19	4.92		1.75		1.88				2.01	1.00	1.05
MEX	0.83		0.81	0.57	0.43			1.11	1.21		1.17	1.17			0.95	0.98	1.06
NLD	0.90	0.10	0.63	0.74	0.50	1.45	1.26	1.10	1.52	0.99	1.66	1.16	0.91		0.84	1.24	1.01
NZL	0.85	0.34		0.65	0.30			1.12	1.28	0.96	2.17	1.55	0.83		1.23	1.03	1.02
NOR	0.93	0.24	0.65	0.61	0.41	1.25	1.32	1.10	0.88	0.95	1.77	1.21	1.02		1.51	0.77	0.99
POL	0.89	0.51	0.76	0.33	0.32	2.44	1.16	1.12	1.30	1.02	2.37	1.81	1.17		1.00	1.03	1.09
PRT	0.89	0.53	0.73	0.29	0.35	1.71	2.32	0.90	1.64		2.96	0.68			1.13	0.88	1.18
SVK	0.88	0.62	0.87	0.30	0.40	2.72	3.68		0.97	0.99	1.68		1.10		1.04	1.02	1.09
SVN	0.98	0.38	0.76	0.36	0.53	1.85	1.82	1.12	2.00	1.02	2.77	1.66	1.24		1.22	0.72	1.18
ESP	0.92	0.48	0.67	0.29	0.43	2.72	1.01	1.10	1.16	1.00	3.27	1.92	1.11		1.33	0.88	1.07
SWE	0.94		0.66	0.51	0.29	1.42	1.01	1.10	0.84	0.97	2.71	1.41	1.01		1.00	1.01	0.99
CHE	0.90		0.53	0.70	0.48	1.13	3.05		1.43		2.17				1.17	0.85	1.01
TUR	0.80		0.65	0.57	0.49	2.49		1.06	1.44	1.04	1.47	0.89	1.06		0.97	0.96	1.07
GBR	0.86	0.30	0.68	0.64	0.27	1.68	2.12	1.10	1.39	0.97	1.40	1.44	0.89		0.94	0.84	1.03
USA	0.84	0.18	0.62	0.63	0.40		2.05	1.09	1.15	0.98	2.03	1.48	0.99		1.32	0.79	1.05
OECD	0.90	0.38	0.71	0.49	0.41	1.89	1.84	1.08	1.41	0.99	2.34	1.44	1.05		1.19	0.94	1.06
LTU	0.92			0.35	0.52	2.61	3.14	1.06	0.84	1.03	2.32	1.79	0.65		1.29	1.02	1.10
