ISO	IW_HNFW_edu_primary	JE_PE_edu_primary	JE_EMPL_edu_primary	JE_UNEM_edu_primary	HS_LEB_primary_1	HS_LEB_edu_primary_2	HS_SFRH_edu_primary	WL_EWLH_edu_primary	ES_STCS_edu_primary	ES_ADCO_edu_primary	SC_SNTWS_edu_primary	CG_POEF_edu_primary	CG_VOTO_edu_primary	EQ_SATW_edu_primary	PS_SFRV_edu_primary	SW_LIFS_edu_primary
AUS	0.67	0.65	0.70	0.45	-3.70	-6.60		1.31	0.83	0.82	0.45	0.66		0.59	0.70	0.93
AUT	0.25	0.48	0.62	0.34	-3.00	-6.40	0.35	3.22	0.75	0.81	0.60	0.66		0.96	0.55	0.90
BEL	0.51	0.69	0.55	0.28	-6.80	-9.90	0.34	2.75	0.77	0.79	0.69	0.60		0.96	0.60	0.87
CAN	0.43	0.54	0.68	0.45	-2.70	-4.10		0.59	0.88	0.79	0.87	0.70		0.74	0.55	0.95
CHL	0.33		0.73	0.95	-7.60	-11.00	0.55		0.80	0.69	0.32	0.35		1.60	0.95	0.78
CZE		0.52	0.49	0.11	-4.70	-13.00	0.40	4.30	0.81	0.83	0.39	0.70		0.74	0.67	0.85
DNK	0.42	0.68	0.70	0.56	-5.10	-6.80	0.54	0.66	0.81	0.83	0.58	0.56		0.64	0.40	0.95
EST	0.32	0.63	0.67	0.30	-8.30	-15.10	0.58	1.34	0.87	0.87	0.64	0.82		0.98	1.22	0.88
FIN	0.54	0.68	0.65	0.53	-4.80	-7.60	0.39	1.85	0.78	0.84	0.31	0.38		1.10	0.75	0.89
FRA	0.48	0.72	0.65	0.41	-2.70	-6.80	0.43	1.04	0.78	0.76	0.40	0.83		1.21	0.60	0.85
DEU	0.14	0.52	0.67	0.20			0.61	1.75	0.77	0.81	0.55	0.61		0.98	0.49	0.86
GRC	0.71	0.50	0.71	0.72			0.25	0.69	0.83	0.84	0.46	0.65		1.01	0.74	0.77
HUN	0.19	0.44	0.58	0.14	-5.77	-14.00	0.48	1.12	0.66		0.38			1.27	0.94	0.76
ISL		0.67	0.85	0.70			0.48	0.94	0.72		0.87			1.14	1.09	0.95
IRL	1.06	0.58	0.59	0.32			0.27	1.18	0.82	0.80	0.67	0.64		1.14	0.76	0.94
ISR			0.56	0.56	-3.90	-5.60			0.78	0.79	0.35	0.84		1.16	0.55	0.84
ITA	0.36	0.61	0.64	0.48	-2.00	-3.80	0.30	0.89	0.82	0.83	0.50	0.71		1.07	0.86	0.87
JPN		0.58					0.77			0.84	0.71	0.71		1.40	0.77	0.89
KOR	0.44	0.49	0.85	1.17			0.82		0.82	0.82	0.32	0.74		0.90	1.03	0.78
LVA	0.16		0.66	0.23	-8.30	-11.60	0.67	1.43	0.81		0.44			1.03	1.13	0.83
LUX	0.42	0.46	0.73	0.55			0.45	4.59	0.85		0.71			1.02	0.57	0.89
MEX		0.45	0.80	1.38	-2.70	-4.80			0.88		0.66			1.08	1.08	0.83
NLD		0.61	0.68	0.40			0.39	1.97	0.85	0.81	0.60	0.48		1.53	0.43	0.92
NZL			0.79	0.44	-4.40	-4.60			0.80	0.82	0.83	0.57		0.72	0.78	0.96
NOR	0.44	0.67	0.68	0.33	-5.40	-6.80	0.47	0.96	0.78	0.83	0.50	0.50		1.28	0.64	0.95
POL	0.56	0.46	0.47	0.23	-6.20	-12.60	0.36	0.61		0.82	0.48	0.60		1.46	1.10	0.85
PRT	0.49	0.48	0.77	0.63	-1.60	-4.00	0.39	1.17	0.88		0.27			1.13	0.72	0.71
SVK	0.30	0.62	0.43	0.16	-3.90	-7.50	0.34		0.60	0.81	0.53	0.72		1.16	0.86	0.82
SVN	0.47	0.49	0.58	0.42	-4.70	-8.30	0.35	1.18	0.83	0.79	0.41	0.83		1.50	0.64	0.77
ESP	0.47	0.60	0.66	0.43			0.33	1.53	0.87	0.80	0.33	0.82		1.12	0.65	0.83
SWE		0.81	0.74	0.30	-5.00	-5.90	0.41	0.72	0.76	0.80	0.59	0.53		3.20	0.75	0.95
CHE		0.47	0.77	0.33			0.46	2.31	0.84		0.95			0.85	0.44	0.93
TUR		0.36	0.67	0.93	-4.00	-4.10	0.31		0.94	0.80	0.30	0.96		1.23	1.10	0.82
GBR		0.57	0.68	0.39	-4.00	-4.40	0.46	1.41	0.85	0.80	0.44	0.61		0.99	0.57	0.92
USA	0.16	0.43	0.67	0.29	-3.90	-7.30		2.35	0.88	0.74	0.22	0.56		1.34	0.53	0.87
OECD	0.43	0.56	0.67	0.47	-4.61	-7.70	0.45	1.62	0.81	0.81	0.52	0.65		1.15	0.75	0.87
LTU			0.56	0.14			0.52	0.58	0.85	0.89	0.37	0.33		1.40	1.05	0.88
