"ISO","variable","value","typeIneq","variable1"
"AUS","IW_HADI",33254,"average","IW_HADI"
"AUT","IW_HADI",32346,"average","IW_HADI"
"BEL","IW_HADI",29701,"average","IW_HADI"
"CAN","IW_HADI",29634,"average","IW_HADI"
"CHL","IW_HADI",,"average","IW_HADI"
"CZE","IW_HADI",20389,"average","IW_HADI"
"DNK","IW_HADI",27874,"average","IW_HADI"
"EST","IW_HADI",17610,"average","IW_HADI"
"FIN","IW_HADI",28716,"average","IW_HADI"
"FRA","IW_HADI",30368,"average","IW_HADI"
"DEU","IW_HADI",32941,"average","IW_HADI"
"GRC","IW_HADI",17429,"average","IW_HADI"
"HUN","IW_HADI",16381,"average","IW_HADI"
"ISL","IW_HADI",24318,"average","IW_HADI"
"IRL","IW_HADI",23564,"average","IW_HADI"
"ISR","IW_HADI",,"average","IW_HADI"
"ITA","IW_HADI",25409,"average","IW_HADI"
"JPN","IW_HADI",27761,"average","IW_HADI"
"KOR","IW_HADI",20237,"average","IW_HADI"
"LVA","IW_HADI",14237,"average","IW_HADI"
"LUX","IW_HADI",,"average","IW_HADI"
"MEX","IW_HADI",,"average","IW_HADI"
"NLD","IW_HADI",28097,"average","IW_HADI"
"NZL","IW_HADI",,"average","IW_HADI"
"NOR","IW_HADI",34359,"average","IW_HADI"
"POL","IW_HADI",18246,"average","IW_HADI"
"PRT","IW_HADI",19829,"average","IW_HADI"
"SVK","IW_HADI",19239,"average","IW_HADI"
"SVN","IW_HADI",20015,"average","IW_HADI"
"ESP","IW_HADI",22494,"average","IW_HADI"
"SWE","IW_HADI",29796,"average","IW_HADI"
"CHE","IW_HADI",36830,"average","IW_HADI"
"TUR","IW_HADI",,"average","IW_HADI"
"GBR","IW_HADI",27526,"average","IW_HADI"
"USA","IW_HADI",42422,"average","IW_HADI"
"OECD","IW_HADI",31651,"average","IW_HADI"
"AUS","IW_HNFW",383800,"average","IW_HNFW"
"AUT","IW_HNFW",299189,"average","IW_HNFW"
"BEL","IW_HNFW",349764,"average","IW_HNFW"
"CAN","IW_HNFW",360832,"average","IW_HNFW"
"CHL","IW_HNFW",69748,"average","IW_HNFW"
"CZE","IW_HNFW",,"average","IW_HNFW"
"DNK","IW_HNFW",,"average","IW_HNFW"
"EST","IW_HNFW",,"average","IW_HNFW"
"FIN","IW_HNFW",159972,"average","IW_HNFW"
"FRA","IW_HNFW",231194,"average","IW_HNFW"
"DEU","IW_HNFW",208267,"average","IW_HNFW"
"GRC","IW_HNFW",191298,"average","IW_HNFW"
"HUN","IW_HNFW",,"average","IW_HNFW"
"ISL","IW_HNFW",,"average","IW_HNFW"
"IRL","IW_HNFW",,"average","IW_HNFW"
"ISR","IW_HNFW",,"average","IW_HNFW"
"ITA","IW_HNFW",321933,"average","IW_HNFW"
"JPN","IW_HNFW",,"average","IW_HNFW"
"KOR","IW_HNFW",293178,"average","IW_HNFW"
"LVA","IW_HNFW",,"average","IW_HNFW"
"LUX","IW_HNFW",723489,"average","IW_HNFW"
"MEX","IW_HNFW",,"average","IW_HNFW"
"NLD","IW_HNFW",191210,"average","IW_HNFW"
"NZL","IW_HNFW",,"average","IW_HNFW"
"NOR","IW_HNFW",192887,"average","IW_HNFW"
"POL","IW_HNFW",,"average","IW_HNFW"
"PRT","IW_HNFW",210857,"average","IW_HNFW"
"SVK","IW_HNFW",129652,"average","IW_HNFW"
"SVN","IW_HNFW",,"average","IW_HNFW"
"ESP","IW_HNFW",356900,"average","IW_HNFW"
"SWE","IW_HNFW",,"average","IW_HNFW"
"CHE","IW_HNFW",,"average","IW_HNFW"
"TUR","IW_HNFW",,"average","IW_HNFW"
"GBR","IW_HNFW",338789,"average","IW_HNFW"
"USA","IW_HNFW",452900,"average","IW_HNFW"
"OECD","IW_HNFW",345358,"average","IW_HNFW"
"AUS","JE_EMPL",72.16,"average","JE_EMPL"
"AUT","JE_EMPL",71.11,"average","JE_EMPL"
"BEL","JE_EMPL",61.8,"average","JE_EMPL"
"CAN","JE_EMPL",72.51,"average","JE_EMPL"
"CHL","JE_EMPL",62.44,"average","JE_EMPL"
"CZE","JE_EMPL",70.23,"average","JE_EMPL"
"DNK","JE_EMPL",73.51,"average","JE_EMPL"
"EST","JE_EMPL",71.82,"average","JE_EMPL"
"FIN","JE_EMPL",68.73,"average","JE_EMPL"
"FRA","JE_EMPL",63.8,"average","JE_EMPL"
"DEU","JE_EMPL",73.97,"average","JE_EMPL"
"GRC","JE_EMPL",50.78,"average","JE_EMPL"
"HUN","JE_EMPL",63.94,"average","JE_EMPL"
"ISL","JE_EMPL",84.23,"average","JE_EMPL"
"IRL","JE_EMPL",63.1,"average","JE_EMPL"
"ISR","JE_EMPL",68.32,"average","JE_EMPL"
"ITA","JE_EMPL",57.13,"average","JE_EMPL"
"JPN","JE_EMPL",73.27,"average","JE_EMPL"
"KOR","JE_EMPL",65.75,"average","JE_EMPL"
"LVA","JE_EMPL",68.1,"average","JE_EMPL"
"LUX","JE_EMPL",66.13,"average","JE_EMPL"
"MEX","JE_EMPL",60.57,"average","JE_EMPL"
"NLD","JE_EMPL",74.11,"average","JE_EMPL"
"NZL","JE_EMPL",74.28,"average","JE_EMPL"
"NOR","JE_EMPL",74.86,"average","JE_EMPL"
"POL","JE_EMPL",62.93,"average","JE_EMPL"
"PRT","JE_EMPL",63.9,"average","JE_EMPL"
"SVK","JE_EMPL",62.72,"average","JE_EMPL"
"SVN","JE_EMPL",65.22,"average","JE_EMPL"
"ESP","JE_EMPL",58.72,"average","JE_EMPL"
"SWE","JE_EMPL",75.54,"average","JE_EMPL"
"CHE","JE_EMPL",80.22,"average","JE_EMPL"
"TUR","JE_EMPL",50.19,"average","JE_EMPL"
"GBR","JE_EMPL",73.23,"average","JE_EMPL"
"USA","JE_EMPL",68.71,"average","JE_EMPL"
"OECD","JE_EMPL",66.37,"average","JE_EMPL"
"AUS","JE_PE",51148,"average","JE_PE"
"AUT","JE_PE",45988,"average","JE_PE"
"BEL","JE_PE",48093,"average","JE_PE"
"CAN","JE_PE",48164,"average","JE_PE"
"CHL","JE_PE",,"average","JE_PE"
"CZE","JE_PE",21185,"average","JE_PE"
"DNK","JE_PE",49589,"average","JE_PE"
"EST","JE_PE",21020,"average","JE_PE"
"FIN","JE_PE",40742,"average","JE_PE"
"FRA","JE_PE",40828,"average","JE_PE"
"DEU","JE_PE",43872,"average","JE_PE"
